City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
537,es castell,39.8795,4.2854,16.38,67,20,2.57,ES,1707835994
538,balaipungut,1.05,101.2833,23.99,98,100,1.06,ID,1707835995
539,maryborough,-25.5333,152.7,24.5,97,43,1.16,AU,1707835995
540,mpika,-11.8343,31.4529,20.88,90,95,2.48,ZM,1707835996
541,papao,-17.75,-149.55,26.82,89,100,9.54,PF,1707835996
542,igrim,63.1906,64.4162,-29.51,96,100,4.44,RU,1707835997
543,somerset east,-32.7217,25.588,29.65,31,46,7.73,ZA,1707835997
544,el nido,11.1858,119.3956,27.26,79,84,10.33,PH,1707835998
545,alesund,62.4723,6.1549,6.51,60,75,4.63,NO,1707835999
546,el granada,37.5027,-122.4694,11.03,92,100,1.54,US,1707836000
547,akureyri,65.6835,-18.0878,-1.04,93,75,9.26,IS,1707836000
548,chinchilla,-26.75,150.6333,22.23,87,55,0.45,AU,1707836001
549,ulanhot,46.0833,122.0833,-4.98,47,100,5.52,CN,1707836001
550,sao joao da barra,-21.6403,-41.0511,33.05,73,96,6.2,BR,1707836002
551,byron bay,-28.65,153.6167,20.39,92,42,1.2,AU,1707836002
552,claremont,34.0967,-117.7198,10.33,69,0,0.0,US,1707836003
553,lerwick,60.1545,-1.1494,7.0,90,63,13.31,GB,1707836003
554,cameron park colonia,25.9715,-97.4783,17.19,79,0,1.54,US,1707836004
555,viqueque,-8.8673,126.3658,25.97,87,99,2.47,TL,1707836004
556,palmas,-10.2128,-48.3603,29.93,58,75,4.63,BR,1707836005
557,butte,39.6499,-121.5677,9.44,84,0,0.0,US,1707835999
558,ribeira brava,32.65,-17.0667,23.4,63,100,1.18,PT,1707836006
559,santa quiteria,-4.3319,-40.1567,34.91,36,95,3.46,BR,1707836006
560,greenville,35.6127,-77.3663,14.01,64,75,7.72,US,1707835740
561,antofagasta,-23.65,-70.4,23.6,72,76,3.18,CL,1707836007
562,tulun,54.5611,100.5792,-16.38,98,100,2.11,RU,1707836007
563,mawu,29.5923,107.3139,13.92,74,92,1.72,CN,1707836008
564,watsa,3.0372,29.5355,25.73,57,91,1.77,CD,1707836008
565,lake monticello,37.9232,-78.3347,7.62,85,91,1.79,US,1707836009
566,monroeville,40.4212,-79.7881,2.8,69,0,5.14,US,1707836009
567,souillac,-20.5167,57.5167,29.21,84,40,4.63,MU,1707836010
568,awjilah,29.1081,21.2869,16.49,54,82,3.97,LY,1707836010
569,acarau,-2.8856,-40.12,30.66,62,100,6.92,BR,1707836011
570,padang,-0.9492,100.3543,30.03,84,69,2.6,ID,1707836011
571,midvagur,62.0511,-7.1939,5.46,81,20,5.66,FO,1707836012
572,thunder bay,48.4001,-89.3168,-14.01,85,75,1.03,CA,1707835818
573,ljusdal,61.8288,16.0913,-5.2,95,100,3.45,SE,1707836013
574,tortoli,39.9256,9.6572,15.9,55,0,5.66,IT,1707836013
575,barra de santo antonio,-9.4047,-35.5072,31.6,57,85,4.69,BR,1707836014
576,kodinsk,58.6881,99.1844,-18.94,98,100,1.46,RU,1707836014
577,kiffa,16.6166,-11.4045,38.55,4,0,3.22,MR,1707836015
578,ust-tsilma,65.441,52.1498,-32.44,100,15,1.79,RU,1707836015
